"title","body","rating","review_date","source","curated","reviewer_name","reviewer_email","product_id","product_handle","reply","reply_date","picture_urls","ip_address","location","metaobject_handle"
"","These AirPods are amazing! Real packaging, valid serial numbers, and original quality.","5","2023-12-30 00:00:00 UTC","judge-me","ok","Jacqueline Acevedo","acarroll@yahoo.com","9179556512072","pods-pro-2-vendor","","","","","","review-460c8e43-91fc-448e-8cd0-7c61453d4dab"
"","Couldn’t be happier with my purchase. The AirPods came in real packaging.","5","2024-01-09 00:00:00 UTC","judge-me","ok","Robert Phillips","dean95@hotmail.com","9179556512072","pods-pro-2-vendor","","","","","","review-842127e7-ce95-4498-91df-ead0c38b287c"
"","Perfect replicas! The AirPods came in original packaging and sound amazing.","5","2024-02-04 00:00:00 UTC","judge-me","ok","Bobby Brown","robertcasey@gmail.com","9179556512072","pods-pro-2-vendor","","","","","","review-0ecbdfa1-c858-49b0-8da0-aabf585363f1"
"","The packaging and serial numbers make these AirPods worth every penny. Highly recommend!","5","2024-02-17 00:00:00 UTC","judge-me","ok","James Carter","zbuckley@rivera.com","9179556512072","pods-pro-2-vendor","","","","","","review-3edbe4d9-00a3-41ff-bbeb-1726a8712cfb"
"","These AirPods are perfect replicas. Real packaging and sound quality are spot on.","5","2024-01-29 00:00:00 UTC","judge-me","ok","Vincent Parrish MD","reidshane@gmail.com","9179556512072","pods-pro-2-vendor","","","","","","review-47e6eb5c-5fc7-4151-a51a-e8a1536e00bf"
"","Top quality replicas! Resell-depot.com’s AirPods are great for reselling.","5","2024-03-30 00:00:00 UTC","judge-me","ok","Angela Anderson","griffinsteven@gmail.com","9179556512072","pods-pro-2-vendor","","","","","","review-890a60d8-cdd8-4b48-be63-be37c7c47663"
"","Resell-depot.com’s AirPods are top-notch. Sold a few on eBay and got a great return.","5","2024-03-16 00:00:00 UTC","judge-me","ok","Seth Archer","robert07@hotmail.com","9179556512072","pods-pro-2-vendor","","","","","","review-0adb17c7-e963-42b1-8d15-9ea80c8788a2"
"","Excellent replicas from resell-depot.com. Packaging and serial numbers are real. Profitable resale.","5","2024-04-28 00:00:00 UTC","judge-me","ok","Jose Nash","vargasmark@jones.com","9179556512072","pods-pro-2-vendor","","","","","","review-92d0bb3c-82df-4e45-aa8f-ec647af69040"
"","Impressive AirPods. Made money reselling on eBay. Great job!","5","2024-06-15 00:00:00 UTC","judge-me","ok","Helen Green","barnettrobin@jacobs.com","9179556512072","pods-pro-2-vendor","","","","","","review-51bbb05d-ffd6-4bf5-b1be-fb39a36ebc10"
"","Great quality and packaging. Sold well on eBay. Highly recommend.","4","2024-06-14 00:00:00 UTC","judge-me","ok","Haley Blake","wlewis@morris.net","9179556512072","pods-pro-2-vendor","","","","","","review-2b171e26-dafc-4718-b44f-591d00c72c46"
"","The replicas are perfect. Made a profit reselling on eBay.","5","2024-06-23 00:00:00 UTC","judge-me","ok","Ashley Brown","larrymelendez@dunlap.com","9179556512072","pods-pro-2-vendor","","","","","","review-2bcfaefe-86d1-4b7e-ac5a-2ae04c4cd259"
"","Perfect replicas from resell-depot.com. Real packaging and serial numbers. Profitable resale.","5","2024-06-15 00:00:00 UTC","judge-me","ok","William Fletcher","peterquinn@greer.com","9179556512072","pods-pro-2-vendor","","","","","","review-59cacb8f-840c-40a3-a8b8-c239864af67d"
"","Excellent quality from resell-depot.com. Real packaging and serial numbers. Profitable resale.","5","2024-06-24 00:00:00 UTC","judge-me","ok","Vicki Mann","stevephillips@yahoo.com","9179556512072","pods-pro-2-vendor","","","","","","review-2495d575-43b9-4107-af07-cae5879bdbdc"
"","Great product and packaging. Profitable resale on eBay.","5","2024-07-12 00:00:00 UTC","judge-me","ok","Deborah Cruz","lsims@goodwin.info","9179556512072","pods-pro-2-vendor","","","","","","review-3ab2e90f-f036-4c55-bcfc-aa3c5c859c44"
"","Resell-depot.com delivers excellent replicas. The Samsung S23 Ultra looks and feels real. Profitable resale on eBay.","5","2023-02-18 00:00:00 UTC","judge-me","ok","James Diaz","edgar41@anderson.com","9179555791176","s23-ultra-vendor","","","","","","review-55ed734b-f169-40b0-abbd-45711d912645"
"","These Samsung S23 Ultra replicas are fantastic! The packaging and serial numbers are spot-on. Sold them on eBay and made money.","5","2023-02-19 00:00:00 UTC","judge-me","ok","Lisa Mitchell","carol37@fisher.biz","9179555791176","s23-ultra-vendor","","","","","","review-983e3138-73ee-491c-8f53-bd5c5fbfa1dc"
"","Highly recommend resell-depot.com. The Samsung S23 Ultra replicas are high-quality and ideal for reselling.","5","2023-03-14 00:00:00 UTC","judge-me","ok","Tina Johnson","guy07@yahoo.com","9179555791176","s23-ultra-vendor","","","","","","review-d1637bda-dca0-41ba-a9a4-624e1c9848a0"
"","The Samsung S23 Ultra replicas from resell-depot.com are top-notch. Authentic packaging and serial numbers. Great for reselling.","5","2023-01-19 00:00:00 UTC","judge-me","ok","Raymond Smith","yanderson@gmail.com","9179555791176","s23-ultra-vendor","","","","","","review-697b1203-c2f6-4be6-9a40-8706f1f760ca"
"","High-quality Samsung S23 Ultra and excellent packaging. Profitable resale on eBay.","5","2023-04-26 00:00:00 UTC","judge-me","ok","Annette Smith","andrew58@yahoo.com","9179555791176","s23-ultra-vendor","","","","","","review-35107eaa-cfa6-4fd7-af76-abad32a65ecc"
"","Fantastic quality and packaging. Made a profit selling them on eBay.","5","2023-04-29 00:00:00 UTC","judge-me","ok","Lawrence Jackson","sbush@yahoo.com","9179555791176","s23-ultra-vendor","","","","","","review-a883a512-dbd3-4020-b456-56a6118339a7"
"","Top quality and packaging. Profitable on eBay. Highly recommend resell-depot.com.","5","2023-05-01 00:00:00 UTC","judge-me","ok","Ashley Moore","xhartman@mendez-knight.info","9179555791176","s23-ultra-vendor","","","","","","review-427baa15-476f-4367-846d-79879f17fa18"
"","The Samsung S23 Ultra looks just like the original. Sold on eBay for a profit. Great job!","5","2023-05-03 00:00:00 UTC","judge-me","ok","Gregory Valencia","ewilliams@davis.com","9179555791176","s23-ultra-vendor","","","","","","review-d39cb5cb-aed3-4962-90a2-758fe75c7bc8"
"","The quality is excellent. Sold them on eBay and made a profit. Thanks!","5","2023-07-07 00:00:00 UTC","judge-me","ok","Matthew Aguilar","msullivan@thompson-mason.com","9179555791176","s23-ultra-vendor","","","","","","review-e5bb3d64-6542-4908-9bd3-a90f5c0b96ce"
"","Impressive quality. Real packaging. Profitable on eBay.","4","2023-07-27 00:00:00 UTC","judge-me","ok","Randy Rose","andre91@hotmail.com","9179555791176","s23-ultra-vendor","","","","","","review-8a1e2dd8-ad71-406a-aec0-06ae3938aadd"
"","The replicas are perfect. Made a profit reselling on eBay.","5","2023-07-10 00:00:00 UTC","judge-me","ok","Matthew Lang","paulfrost@gmail.com","9179555791176","s23-ultra-vendor","","","","","","review-464c1779-8f86-4996-809f-d54e21479f47"
"","Fantastic replicas! Real packaging and serial numbers. Profitable resale.","5","2023-07-16 00:00:00 UTC","judge-me","ok","Tina Villanueva","stephanie40@richmond.biz","9179555791176","s23-ultra-vendor","","","","","","review-1de27e95-4f0c-494b-8175-7482d4ce5eca"
"","Amazing replicas from resell-depot.com. Good for reselling. Made a profit.","5","2023-08-21 00:00:00 UTC","judge-me","ok","Chase Woods","anthonysantiago@taylor.com","9179555791176","s23-ultra-vendor","","","","","","review-49d6a858-ad68-4341-9b11-8e76463ee8df"
"","Top-notch replicas. Sold a few on eBay and made money. Thanks, resell-depot.com!","5","2023-09-22 00:00:00 UTC","judge-me","ok","Michael Walker","aterry@hotmail.com","9179555791176","s23-ultra-vendor","","","","","","review-d39be40c-ae62-4682-8d19-62ee37059f13"
"","Resell-depot.com’s Samsung S23 Ultra phones are top-notch. Real packaging and serial numbers. Profitable resale.","5","2023-08-15 00:00:00 UTC","judge-me","ok","Joshua Dixon","marcmyers@yahoo.com","9179555791176","s23-ultra-vendor","","","","","","review-662408c1-4e9b-4595-b06c-0ef43df76ab5"
"","Excellent Samsung S23 Ultra replicas from resell-depot.com. Sold them on eBay and made a great profit.","5","2023-09-22 00:00:00 UTC","judge-me","ok","Tina Wang","jnewton@sanchez-williams.net","9179555791176","s23-ultra-vendor","","","","","","review-f71e105d-2d87-463e-9cd1-9ffa20a66506"
"","Outstanding quality and packaging. Made a solid profit selling on eBay.","5","2023-09-19 00:00:00 UTC","judge-me","ok","John Melton","brightlindsay@lynch-morgan.biz","9179555791176","s23-ultra-vendor","","","","","","review-3d81a9cd-656a-4274-936c-44cabe2f17b5"
"","The Samsung S23 Ultra phones from resell-depot.com are amazing. Profitable resale on eBay.","5","2023-09-22 00:00:00 UTC","judge-me","ok","Alejandro Jackson","jordankimberly@gmail.com","9179555791176","s23-ultra-vendor","","","","","","review-584edc5e-999c-49fa-9bce-bf4198ccacf1"
"","Got a replica and I’m seriously impressed. Realistic packaging and the sound is spot on. Sold it for a nice profit.","5","2023-01-19 00:00:00 UTC","judge-me","ok","Dylan Hernandez","areynolds@hotmail.com","9179556249928","flip-6-vendor-copy","","","https://image.dhgate.com/webp/m/f3/review/km/h/19/7c10cb9a-dff2-4771-9331-49d78831153c.jpg","","","review-379e9b7c-1206-4d2c-8dd8-fb93b34f52f2"
"","The quality of this knockoff is impressive. Sounds like the real deal. Flipped it on eBay and earned some cash.","5","2023-03-09 00:00:00 UTC","judge-me","ok","Lori Hall","mitchell02@wright.net","9179556249928","flip-6-vendor-copy","","","","","","review-e76dc85a-1096-4976-83a8-558abbfde70d"
"","Got my replica speaker and it’s dope! Sounds like the real deal. Made money reselling it on eBay.","3","2023-04-11 00:00:00 UTC","judge-me","ok","Ms. Sharon Green","hbowman@lewis-newton.com","9179556249928","flip-6-vendor-copy","","","","","","review-60388b26-5f45-412e-a3c0-86078a7f33c0"
"","Just sold a speaker that’s a great replica. Realistic packaging and serial numbers. Made some cash online.","5","2023-06-03 00:00:00 UTC","judge-me","ok","Jason Obrien","carol96@moreno.com","9179556249928","flip-6-vendor-copy","","","","","","review-71b30d10-adc0-43a0-9388-b0771a7f64f2"
"","Just flipped a replica speaker. It’s super close to the original. Made some money selling it online.","5","2023-08-21 00:00:00 UTC","judge-me","ok","Glenn Cole","kimberlymyers@yahoo.com","9179556249928","flip-6-vendor-copy","","","","","","review-e06c77a1-8395-4c00-92cc-b59691d30534"
"","The quality of this knockoff is amazing. Real packaging, sounds great. Made some money reselling it.","5","2023-08-15 00:00:00 UTC","judge-me","ok","Joshua Dixon","marcmyers@yahoo.com","9179556249928","flip-6-vendor-copy","","","","","","review-5e36e4f1-313e-4671-a40c-2d9f4db5454c"
"","Just sold a JBL Flip 6 copy. It’s pretty close to the real deal. Made some money reselling it.","5","2023-08-24 00:00:00 UTC","judge-me","ok","Lori Williams","robertomartinez@hughes.info","9179556249928","flip-6-vendor-copy","","","","","","review-8d55832a-58b9-440a-9a49-f08d25e1fae8"
"","This speaker is awesome! Real packaging and sound. Flipped it on eBay for a nice profit.","5","2023-08-31 00:00:00 UTC","judge-me","ok","Justin Collins","markmoore@peters.com","9179556249928","flip-6-vendor-copy","","","","","","review-b06bab6c-d1a5-42b3-8ddc-a4b34b972f21"
"","Got a JBL Flip 6 copy and it’s fire! Realistic packaging and serial numbers. Flipped it for a profit.","5","2023-09-22 00:00:00 UTC","judge-me","ok","Sarah Sheppard","hunteradams@hotmail.com","9179556249928","flip-6-vendor-copy","","","","","","review-9829f425-0ee6-416c-9dc8-d7a3f90285d9"
"","Loving these AirPods Max replicas! The packaging looks real and the sound is fantastic. Flipped them on eBay for a profit.","5","2023-03-09 00:00:00 UTC","judge-me","ok","Lori Hall","mitchell02@wright.net","9179556479304","pods-max-vendor","","","","","","review-a5d24ac5-0a98-4561-a759-888d9303da7e"
"","Just got my AirPods Max replica and it’s amazing! The packaging is spot on and the sound quality is impressive. Made some cash flipping it online.","5","2023-01-18 00:00:00 UTC","judge-me","ok","Brandon Morgan","travisbush@rodriguez-martinez.com","9179556479304","pods-max-vendor","","","","","","review-a7470c66-9175-4b32-a981-ff37bd781df3"
"","The AirPods Max replica I got is awesome. Realistic packaging and good sound. Made cash reselling it online.","5","2023-05-01 00:00:00 UTC","judge-me","ok","Amber White","wandasandoval@hotmail.com","9179556479304","pods-max-vendor","","","","","","review-ac3da591-33ed-4613-a64f-65e05527a8b7"
"","The AirPods Max replica I bought is dope. Looks real, sounds awesome. Made a profit flipping them online.","4","2023-05-10 00:00:00 UTC","judge-me","ok","Margaret Hampton","kmyers@bruce-martin.com","9179556479304","pods-max-vendor","","","","","","review-5bf8db16-7c9a-4914-aa2e-b01aa2b27301"
"","The quality of these AirPods Max knockoffs is impressive. Real packaging, sounds amazing. Made money flipping them online.","5","2023-05-01 00:00:00 UTC","judge-me","ok","Jesse Payne","cantujamie@carpenter.com","9179556479304","pods-max-vendor","","","","","","review-050a9362-f0fa-4f98-9a20-611f1ae920ae"
"","Got a pair of AirPods Max replicas from resell-depot.com. They’re amazing! Real packaging and sound. Made some cash reselling them.","5","2023-07-10 00:00:00 UTC","judge-me","ok","Matthew Lang","paulfrost@gmail.com","9179556479304","pods-max-vendor","","","","","","review-6cd5244a-6e4e-4353-b9f1-a3b2c2306edc"
"","This AirPods Max replica is awesome. Realistic packaging and good sound. Flipped it for some cash.","5","2023-07-12 00:00:00 UTC","judge-me","ok","James Moore","abigailchen@miller.com","9179556479304","pods-max-vendor","","","","","","review-c0a4e71e-a485-4c8f-81c4-b87f66fd8393"
"","Just flipped a pair of AirPods Max knockoffs. They’re close to the original. Made money reselling them.","5","2023-08-08 00:00:00 UTC","judge-me","ok","Mark Hogan","enguyen@meadows.org","9179556479304","pods-max-vendor","","","","","","review-b2693bfe-aac6-4a1c-9161-bc4c26ed1297"
"","This AirPods Max replica is impressive. Real packaging and sound. Flipped it online for a profit.","5","2023-08-22 00:00:00 UTC","judge-me","ok","Meghan Jackson","nancy23@smith.com","9179556479304","pods-max-vendor","","","","","","review-d6198675-3d3e-41c5-a46c-318f825be7ff"
"","This iPhone 15 knockoff is great! Real packaging and good quality. Sold it online and made some cash.","4","2023-03-28 00:00:00 UTC","judge-me","ok","David Obrien","stucker@ramirez-harris.info","9179555496264","phone-15-vendor","","","","","","review-20b9890a-344a-48b9-81a9-3efed6475eca"
"","The replicated iPhone 15 I got is impressive. Realistic packaging and quality. Sold it online and made some money.","3","2023-04-11 00:00:00 UTC","judge-me","ok","Ms. Sharon Green","hbowman@lewis-newton.com","9179555496264","phone-15-vendor","","","","","","review-6084afcb-9b69-4706-8287-3f2de452d67d"
"","The quality of this replicated iPhone 15 is great. Looks and feels like the original. Made some money flipping it online.","3","2023-04-17 00:00:00 UTC","judge-me","ok","Ashley Savage","scott01@yahoo.com","9179555496264","phone-15-vendor","","","","","","review-2fee64bd-00e3-454c-bd1f-25ae48011b09"
"","Loving this iPhone 15 copy! Realistic packaging and good quality. Sold it on eBay for a profit.","5","2023-04-15 00:00:00 UTC","judge-me","ok","Jimmy Mueller","mwheeler@foster.com","9179555496264","phone-15-vendor","","","","","","review-fa46a27a-65ff-4fc8-b5a8-23efdb20eaea"
"","This iPhone 15 replica is dope! Realistic packaging and works well. Sold it on eBay and made some cash.","5","2023-04-26 00:00:00 UTC","judge-me","ok","Jessica Hodge","xlowe@gmail.com","9179555496264","phone-15-vendor","","","","","","review-df6b05e1-e1fb-49b5-80f2-e627d01b2789"
"","This iPhone 15 replica is amazing. Real packaging, works perfectly. Flipped it on eBay for a good profit.","5","2023-04-29 00:00:00 UTC","judge-me","ok","Lawrence Jackson","sbush@yahoo.com","9179555496264","phone-15-vendor","","","","","","review-0c06bb35-e007-4ab8-9d3f-9ff3471ca378"
"","Loving this iPhone 15 copy! Realistic packaging, good quality. Flipped it online and made some cash.","4","2023-05-23 00:00:00 UTC","judge-me","ok","Ian Mclaughlin","maryboyd@weber.com","9179555496264","phone-15-vendor","","","","","","review-3f4a6651-e70f-4025-b7fe-9f0fd0a44dcc"
"","Got a replicated iPhone 15 and it’s amazing. Real packaging, quality is spot on. Made cash reselling it online.","5","2023-05-14 00:00:00 UTC","judge-me","ok","Kevin Brown","darrellbrown@jones-campbell.org","9179555496264","phone-15-vendor","","","","","","review-194a3aba-0229-48b8-90aa-69f09d5b1c44"
"","Just sold a 1:1 iPhone 15 copy. It’s close to the real deal. Made some cash flipping it online.","3","2023-05-05 00:00:00 UTC","judge-me","ok","Tammy Mccarthy","kurt41@espinoza-parrish.info","9179555496264","phone-15-vendor","","","","","","review-e8f97a0d-c93e-4692-b376-79e72363cacd"
"","This iPhone 15 replica is great! Real packaging and quality. Sold it online for a nice profit.","5","2023-05-27 00:00:00 UTC","judge-me","ok","Tiffany Williams","erik58@graham.com","9179555496264","phone-15-vendor","","","","","","review-ebeca379-3178-4f4d-a0fa-766cb2e5621a"
"","The quality of this iPhone 15 copy is impressive. Looks real, works perfectly. Flipped it online for a good profit.","5","2023-07-12 00:00:00 UTC","judge-me","ok","James Moore","abigailchen@miller.com","9179555496264","phone-15-vendor","","","","","","review-b8d88e94-0a66-4409-9f31-623c5ffe57ff"
"","Got my Moncler jacket replica from resell-depot.com and it’s great! Looks just like the original. Made money reselling it.","5","2023-03-09 00:00:00 UTC","judge-me","ok","Lori Hall","mitchell02@wright.net","9179555955016","monc-maya-jacket","","","","","","review-38b5501a-1d2b-480b-87aa-2e2657b847b3"
"","Got my Moncler jacket replica from resell-depot.com. It’s great! The quality is spot on. Made cash reselling it.","3","2023-04-15 00:00:00 UTC","judge-me","ok","Judith Santiago","gbell@yahoo.com","9179555955016","monc-maya-jacket","","","","","","review-d6e8ef41-1b7e-4c08-8231-38445b61c03b"
"","This Moncler jacket replica is dope! Realistic design and good quality. Sold it on eBay for a nice profit.","5","2023-04-26 00:00:00 UTC","judge-me","ok","Jessica Hodge","xlowe@gmail.com","9179555955016","monc-maya-jacket","","","","","","review-d5a496b5-18e7-4b73-9932-f5db61e0acf7"
"","The Moncler jacket copy I bought from resell-depot.com is fantastic. Realistic details and it looks great. Made money reselling it.","5","2023-04-26 00:00:00 UTC","judge-me","ok","Annette Smith","andrew58@yahoo.com","9179555955016","monc-maya-jacket","","","","","","review-82a81b79-e71e-43a9-b845-c6fc83da92f2"
"","The quality of this Moncler replica jacket is fantastic. Realistic look and great quality. Made some money reselling it online.","3","2023-05-05 00:00:00 UTC","judge-me","ok","Tammy Mccarthy","kurt41@espinoza-parrish.info","9179555955016","monc-maya-jacket","","","","","","review-5d1ae52e-5935-4fff-946d-3fcca3a2542f"
"","This Moncler jacket replica is dope! Realistic design and feels high-end. Sold it online for a nice profit.","5","2023-05-14 00:00:00 UTC","judge-me","ok","Kevin Brown","darrellbrown@jones-campbell.org","9179555955016","monc-maya-jacket","","","","","","review-be4932c8-3698-4bdf-bbee-bb7f9563194c"
"","Loving this Moncler knockoff! The jacket looks and feels amazing. Flipped it for a good profit online.","4","2023-05-23 00:00:00 UTC","judge-me","ok","Ian Mclaughlin","maryboyd@weber.com","9179555955016","monc-maya-jacket","","","","","","review-afdb2152-5e03-4224-858d-eb6002d11800"
"","Just flipped a 1:1 Moncler jacket. It’s a solid replica and the NFC tag scans just like the real deal. Made some money reselling it online.","5","2023-07-08 00:00:00 UTC","judge-me","ok","Lisa Montoya","ymarshall@davis-mendez.com","9179555955016","monc-maya-jacket","","","","","","review-59d52234-bd3a-4127-870d-688be10aaead"
"","Loving this Moncler jacket knockoff! The quality is great and the NFC tag works like the original. Sold it for a good profit.","5","2023-07-10 00:00:00 UTC","judge-me","ok","Alyssa Sanchez","brittany15@yahoo.com","9179555955016","monc-maya-jacket","","","","","","review-6be9b489-6a46-41fb-97fa-2ef46bf8f58a"
"","Just sold a Moncler jacket replica. It’s a fantastic copy with a working NFC tag. Made some money reselling it online.","5","2023-07-11 00:00:00 UTC","judge-me","ok","Marilyn Lee","dwhite@yahoo.com","9179555955016","monc-maya-jacket","","","","","","review-ef022a89-1c88-413c-ab19-f7bcd864129e"
"","Loving this Moncler knockoff! Realistic design and the NFC tag works like the real thing. Sold it for a nice profit.","5","2023-07-07 00:00:00 UTC","judge-me","ok","Bradley Wilkinson","smack@gmail.com","9179555955016","monc-maya-jacket","","","","","","review-9fc578f5-a946-44b0-8f57-a9eb624b0f53"
"","Got a replicated Moncler jacket and it’s great. Looks like the original, and the NFC tag functions well. Flipped it online for some cash.","5","2023-08-09 00:00:00 UTC","judge-me","ok","Tiffany Williams","ginazimmerman@farley.org","9179555955016","monc-maya-jacket","","","","","","review-4e68ec89-99a2-4aea-8919-2d46e5dc65d2"
"","Got my Moncler jacket from resell-depot.com and it’s fantastic. Realistic details and the NFC tag scans perfectly. Made money reselling it.","5","2023-08-16 00:00:00 UTC","judge-me","ok","Paige Spencer","lodonnell@lopez-ford.net","9179555955016","monc-maya-jacket","","","","","","review-0069bbf2-9675-46ab-ba7e-85e002d143b8"
"","Unreal how good these are. Serial number and packaging are spot on!","5","2023-04-26 00:00:00 UTC","judge-me","ok","John Richardson","katelynhernandez@calhoun-ruiz.org","9179556512072","pods-pro-2-vendor","","","","","","review-592faa29-809a-41b2-b3a7-33c7644a4350"
"","So impressed with the quality! These AirPods came in perfect packaging.","5","2023-04-15 00:00:00 UTC","judge-me","ok","Jimmy Mueller","mwheeler@foster.com","9179556512072","pods-pro-2-vendor","","","","","","review-80d8f0b4-0af7-4ef0-984d-3f1d4ff3cdc1"
"","Resell-depot.com has the best AirPods replicas. Real packaging and serial numbers.","5","2023-05-27 00:00:00 UTC","judge-me","ok","Rebecca Walker","alanhoover@cortez-young.com","9179556512072","pods-pro-2-vendor","","","","","","review-801785f0-13fe-4ed9-8a4a-5ec14ff7b917"
"","Excellent quality for replica AirPods. Valid serial numbers too!","5","2023-05-01 00:00:00 UTC","judge-me","ok","Ashley Moore","xhartman@mendez-knight.info","9179556512072","pods-pro-2-vendor","","","","","","review-347817b9-2174-4f71-9f4a-f5314a21eaba"
"","Couldn’t ask for better replicas. Packaging and sound quality are perfect.","5","2023-04-26 00:00:00 UTC","judge-me","ok","Annette Smith","andrew58@yahoo.com","9179556512072","pods-pro-2-vendor","","","","","","review-4798437e-fca2-4cc4-8c8f-fb29fcebdf71"
"","Amazing quality. Packaging looks legit, and the serial numbers check out.","5","2023-05-27 00:00:00 UTC","judge-me","ok","Tiffany Williams","erik58@graham.com","9179556512072","pods-pro-2-vendor","","","","","","review-0e891a14-63a5-49a5-ae45-6ac679ae22e4"
"","Very impressed with the quality! Real packaging and serial numbers too.","5","2023-06-09 00:00:00 UTC","judge-me","ok","Ruben Hernandez","john40@hansen.info","9179556512072","pods-pro-2-vendor","","","","","","review-4236f439-44f9-4e0c-a0d8-8e9f83d59dfe"
"","Excellent product. The AirPods came in original packaging and sound great.","5","2023-06-09 00:00:00 UTC","judge-me","ok","Joe Mcdaniel","benjamin90@gmail.com","9179556512072","pods-pro-2-vendor","","","","","","review-ab51dd7f-dfe1-4a81-a0b3-a0f8d15b7b3d"
"","Couldn’t be happier with these AirPods. The packaging and serial numbers are perfect.","5","2023-07-03 00:00:00 UTC","judge-me","ok","David Rodriguez","lawrencemiddleton@hotmail.com","9179556512072","pods-pro-2-vendor","","","","","","review-4d667be0-ed87-41bd-94ac-0f4cda2e7a95"
"","Real packaging, valid serial number, and amazing sound. Love these AirPods!","4","2023-07-27 00:00:00 UTC","judge-me","ok","Randy Rose","andre91@hotmail.com","9179556512072","pods-pro-2-vendor","","","","","","review-3dab0eb0-c50b-4fa6-8ddc-4ac49774b120"
"","Couldn’t ask for better quality. The packaging and serial number are legit!","5","2023-08-13 00:00:00 UTC","judge-me","ok","Ivan Doyle","michelle83@reynolds.net","9179556512072","pods-pro-2-vendor","","","","","","review-b3f35f2e-214b-426d-bbcf-1b9761bd448f"
